entry,exit,dir,entry_p,exit_p,pnl,regime,strategy,reason
2026-02-22 04:00:00+00:00,2026-02-22 04:15:00+00:00,1,1974.9561525714284,1981.6535801980572,57.1529595368786,RANGO,range,sl
2026-02-22 18:00:00+00:00,2026-02-22 18:15:00+00:00,1,1944.3018757142859,1967.3378539105713,93.40371814684842,RANGO,range,sl
2026-02-23 17:00:00+00:00,2026-02-24 17:00:00+00:00,-1,1861.492216,1862.9672984432,-8.635030167040824,RUPTURA,breakout,timeout
2026-02-24 22:00:00+00:00,2026-02-25 22:00:00+00:00,1,1862.7158977142856,2107.6636711061715,460.9654112267832,TENDENCIA_ALCISTA,trend,timeout
2026-02-25 12:00:00+00:00,2026-02-26 12:00:00+00:00,1,1956.0859002857144,2060.203568534229,254.3072379815588,RUPTURA,breakout,timeout
2026-02-28 13:00:00+00:00,2026-03-01 13:00:00+00:00,1,1908.4509017142857,1976.2485241053712,177.4136327635415,RUPTURA,breakout,timeout
2026-03-01 02:00:00+00:00,2026-03-02 02:00:00+00:00,1,2036.8231814285714,1941.4060639351428,-232.08338686724179,RUPTURA,breakout,timeout
2026-03-02 13:00:00+00:00,2026-03-02 13:15:00+00:00,1,1930.4384705714285,1964.4009837344572,98.68043262917975,RANGO,range,sl
2026-03-04 00:00:00+00:00,2026-03-04 00:15:00+00:00,1,1979.8710502857143,1998.4383115042287,81.38983344086733,RANGO,range,sl
2026-03-04 15:00:00+00:00,2026-03-05 15:00:00+00:00,1,2153.9838317142858,2085.445417519371,-113.08359194593493,RUPTURA,breakout,timeout
2026-03-06 11:00:00+00:00,2026-03-06 11:15:00+00:00,1,2053.130563142857,2085.5590167445143,101.25878741203456,RANGO,range,sl
2026-03-09 14:00:00+00:00,2026-03-10 14:00:00+00:00,1,2025.289315142857,2011.6300849941144,-32.82272579940314,TENDENCIA_ALCISTA,trend,timeout
2026-03-10 16:00:00+00:00,2026-03-11 16:00:00+00:00,1,2083.487715428571,2051.501731028343,-58.05150745753103,TENDENCIA_ALCISTA,trend,timeout
2026-03-11 06:00:00+00:00,2026-03-11 06:15:00+00:00,1,2026.6137885714286,2039.1757486708573,74.8968494778381,RANGO,range,sl
2026-03-12 11:00:00+00:00,2026-03-12 11:15:00+00:00,-1,2060.730434,2026.7391460868,102.9175731175651,RANGO,range,sl
2026-03-13 13:00:00+00:00,2026-03-14 13:00:00+00:00,1,2188.603246857143,2071.5561364934856,-233.89820596690683,RUPTURA,breakout,timeout
2026-03-14 13:00:00+00:00,2026-03-14 13:15:00+00:00,-1,2076.976440857143,2063.1332524310287,84.74255760779387,RANGO,range,sl
2026-03-15 04:00:00+00:00,2026-03-15 04:15:00+00:00,-1,2102.9879177142857,2084.701811869257,94.54995822971694,RANGO,range,sl
2026-03-16 03:00:00+00:00,2026-03-17 03:00:00+00:00,1,2238.916776857143,2339.3725737874856,167.55952386318796,RUPTURA,breakout,timeout
2026-03-18 10:00:00+00:00,2026-03-18 10:15:00+00:00,1,2314.901851714286,2331.5477339153713,86.243232420689,RANGO,range,sl
2026-03-20 18:00:00+00:00,2026-03-20 18:15:00+00:00,1,2125.9350865714287,2149.9943844112568,94.14482482142515,RANGO,range,sl
2026-03-21 08:00:00+00:00,2026-03-21 08:15:00+00:00,1,2155.612942857143,2159.726734554286,33.84301971841092,RANGO,range,sl
2026-03-21 21:00:00+00:00,2026-03-21 21:15:00+00:00,-1,2152.526617142857,2143.1831481805716,78.37516621300254,RANGO,range,sl
2026-03-22 20:00:00+00:00,2026-03-23 20:00:00+00:00,-1,2056.6102125714283,2161.6493934710857,-403.14230973431336,TENDENCIA_BAJISTA,trend,timeout
2026-03-24 21:00:00+00:00,2026-03-24 21:15:00+00:00,-1,2146.3674382857143,2105.532059201943,104.73380709599363,RANGO,range,sl
2026-03-25 22:00:00+00:00,2026-03-25 22:15:00+00:00,1,2176.790191714286,2174.119356247372,-327.7874068894099,RANGO,range,sl
2026-03-26 11:00:00+00:00,2026-03-27 11:00:00+00:00,-1,2066.2868834285714,1996.6726859481143,189.85507830353964,RUPTURA,breakout,timeout
2026-03-27 13:00:00+00:00,2026-03-28 13:00:00+00:00,-1,1976.9712274285716,2004.6383228169143,-76.37345741161013,RUPTURA,breakout,timeout
2026-03-29 06:00:00+00:00,2026-03-29 06:15:00+00:00,1,2006.3871388571429,2018.2425797150859,82.5191874175443,RANGO,range,sl
2026-03-29 19:00:00+00:00,2026-03-29 19:15:00+00:00,-1,1994.410607714286,1985.469096407257,72.32564145202814,RANGO,range,sl
2026-03-30 23:00:00+00:00,2026-03-30 23:15:00+00:00,1,2028.8900102857142,2046.6895077122285,86.77538513825748,RANGO,range,sl
2026-04-02 09:00:00+00:00,2026-04-03 09:00:00+00:00,-1,2041.4821285714286,2064.4073678542854,-27.149981468051138,TENDENCIA_BAJISTA,trend,timeout
2026-04-03 05:00:00+00:00,2026-04-03 05:15:00+00:00,-1,2055.2126474285715,2042.5669711009143,80.55725046633322,RANGO,range,sl
2026-04-03 19:00:00+00:00,2026-04-03 19:15:00+00:00,1,2054.221893142857,2056.227798478514,-1.2202483701564262,RANGO,range,sl
2026-04-04 08:00:00+00:00,2026-04-04 08:15:00+00:00,1,2051.5066854285715,2057.0631272343426,59.35426977487328,RANGO,range,sl
2026-04-06 09:00:00+00:00,2026-04-07 09:00:00+00:00,1,2153.4649797142856,2124.1145212897713,-234.69289548295797,RUPTURA,breakout,timeout
2026-04-07 19:00:00+00:00,2026-04-07 19:15:00+00:00,-1,2110.9255362857143,2062.7039708215425,107.78054133932997,RANGO,range,sl
2026-04-08 13:00:00+00:00,2026-04-08 13:15:00+00:00,-1,2233.9710737142855,2252.323508500457,-181.97842778377742,RUPTURA,breakout,sl
2026-04-09 10:00:00+00:00,2026-04-09 10:15:00+00:00,-1,2188.8986457142855,2177.4009940148567,76.13690459334768,RANGO,range,sl
2026-04-10 00:00:00+00:00,2026-04-10 00:15:00+00:00,1,2198.088034,2243.0813823932003,104.50341131472958,RANGO,range,sl
2026-04-10 19:00:00+00:00,2026-04-11 19:00:00+00:00,1,2255.4519197142854,2312.117623901772,108.95007592934095,TENDENCIA_ALCISTA,trend,timeout
2026-04-12 03:00:00+00:00,2026-04-13 03:00:00+00:00,-1,2210.7254008571426,2195.4440022230287,14.215275769965956,TENDENCIA_BAJISTA,trend,timeout
2026-04-13 11:00:00+00:00,2026-04-13 11:15:00+00:00,1,2189.020537428571,2199.759124463943,76.52606967963287,RANGO,range,sl
2026-04-14 08:00:00+00:00,2026-04-15 08:00:00+00:00,1,2390.740522,2316.6188518956,-211.15525659405256,TENDENCIA_ALCISTA,trend,timeout
2026-04-15 10:00:00+00:00,2026-04-15 10:15:00+00:00,1,2318.5643279999995,2336.3052871344003,89.32521742184656,RANGO,range,sl
2026-04-15 23:00:00+00:00,2026-04-15 23:15:00+00:00,1,2362.362204285714,2383.197313273429,90.66592768760668,RANGO,range,sl
2026-04-16 15:00:00+00:00,2026-04-16 15:15:00+00:00,-1,2336.554698,2287.5548109396,109.91632591698033,RANGO,range,sl
2026-04-17 04:00:00+00:00,2026-04-17 04:15:00+00:00,1,2331.4546491428573,2352.504851927314,91.9738409671773,RANGO,range,sl
2026-04-18 18:00:00+00:00,2026-04-19 18:00:00+00:00,-1,2345.4312262857143,2299.3983719595426,168.28747285731322,TENDENCIA_BAJISTA,trend,timeout
2026-04-21 00:00:00+00:00,2026-04-21 00:15:00+00:00,1,2324.5126022857144,2344.2068831938286,91.28713296296061,RANGO,range,sl
2026-04-21 14:00:00+00:00,2026-04-21 14:15:00+00:00,1,2301.443655714286,2335.175925554571,108.96634008110344,RANGO,range,sl
