symbol,entry_time,direction,entry,sl_original,tp1,tp2,exit_price,pnl,contracts,close_type,tp1_hit,tp2_hit,half_tp1_hit
SOLUSDT,2026-05-23T07:10:00+00:00,bearish,84.25,84.65898,83.43204,82.61408,82.61408,7.26056649956479,6.340308729351763,TP1_partial_then_TP2,True,True,True
SOLUSDT,2026-05-23T07:15:00+00:00,bearish,84.14,84.65898,83.10204,82.06408,82.06408,7.565510292546511,5.206304600608421,TP1_partial_then_TP2,True,True,True
SOLUSDT,2026-05-23T07:25:00+00:00,bearish,84.12,84.65898,83.04204000000001,81.96408000000002,81.96408000000002,7.8832617248334635,5.223664358625509,TP1_partial_then_TP2,True,True,True
SOLUSDT,2026-05-23T07:35:00+00:00,bearish,84.02,84.65898,82.74203999999999,81.46407999999998,84.02,3.5204394502613443,4.5912227955248,TP1_partial_then_BE,True,False,True
SOLUSDT,2026-05-23T07:40:00+00:00,bearish,83.9,84.65898,82.38204000000002,80.86408000000003,83.9,3.583807360366048,3.9348943761869837,TP1_partial_then_BE,True,False,True
SOLUSDT,2026-05-23T07:45:00+00:00,bearish,82.47,83.95446,79.50108,76.53216,83.95446,-3.0402632440438615,2.0480600649689884,SL,False,False,False
SOLUSDT,2026-05-23T07:50:00+00:00,bearish,81.97,83.44546,79.01908,76.06816,83.44546,-2.9946592953832027,2.029644514512902,SL,False,False,False
SOLUSDT,2026-05-27T06:30:00+00:00,bullish,83.89,82.69428,86.28143999999999,88.67287999999998,82.69428,-2.9497394059524584,2.4669148345369085,SL,False,False,False
SOLUSDT,2026-05-27T06:35:00+00:00,bullish,83.91,82.69428,86.34143999999998,88.77287999999996,82.69428,-2.905493314863171,2.389936263994336,SL,False,False,False
SOLUSDT,2026-05-27T06:40:00+00:00,bullish,84.04,82.69428,86.73144,89.42288,82.69428,-2.8619109151402236,2.126676362943423,SL,False,False,False
SOLUSDT,2026-05-27T06:45:00+00:00,bullish,84.01,82.69428,86.64144,89.27288,82.69428,-2.81898225141312,2.1425396371668155,SL,False,False,False
SOLUSDT,2026-05-27T06:50:00+00:00,bullish,84.02,82.69428,86.67143999999998,89.32287999999996,82.69428,-2.7766975176419235,2.0944826340720097,SL,False,False,False
SOLUSDT,2026-05-27T06:55:00+00:00,bullish,84.06,82.69428,86.79144,89.52287999999999,82.69428,-2.735047054877295,2.00264113791795,SL,False,False,False
XRPUSDT,2026-05-16T20:30:00+00:00,bearish,1.4162,1.4219382,1.4058712399999997,1.3955424799999994,1.4162,1.45477152848922,234.74446246680753,TP1_partial_then_BE,True,False,True
XRPUSDT,2026-05-16T20:35:00+00:00,bearish,1.4157,1.4219382,1.40447124,1.3932424799999996,1.4157,1.4665551778699841,217.6784105977235,TP1_partial_then_BE,True,False,True
XRPUSDT,2026-05-16T20:40:00+00:00,bearish,1.4156,1.4219382,1.4041912399999998,1.3927824799999997,1.4156,1.4784342748107426,215.97939869753975,TP1_partial_then_BE,True,False,True
XRPUSDT,2026-05-16T21:30:00+00:00,bearish,1.4146,1.4219382,1.4013912400000001,1.3881824800000002,1.4146,0.0,188.0582270701057,BE_after_50%,False,False,True
XRPUSDT,2026-05-16T21:35:00+00:00,bearish,1.4152,1.4219382,1.40307124,1.3909424799999999,1.4152,1.4904095924366987,204.8037876414824,TP1_partial_then_BE,True,False,True
XRPUSDT,2026-05-16T21:40:00+00:00,bearish,1.4147,1.4219382,1.4016712400000002,1.3886424800000001,1.4147,0.0,192.2006788744609,BE_after_50%,False,False,True
XRPUSDT,2026-05-16T23:00:00+00:00,bearish,1.4132,1.4197338000000002,1.4014391599999998,1.3896783199999996,1.4132,0.0,425.84313992748065,BE_after_50%,False,False,True
XRPUSDT,2026-05-16T23:05:00+00:00,bearish,1.4137,1.4197338000000002,1.4028391599999996,1.3919783199999993,1.4137,0.0,461.13127840799206,BE_after_50%,False,False,True
XRPUSDT,2026-05-16T23:10:00+00:00,bearish,1.4135,1.4197338000000002,1.4022791599999997,1.3910583199999993,1.4135,0.0,446.3367300295414,BE_after_50%,False,False,True
XRPUSDT,2026-05-19T01:00:00+00:00,bearish,1.3914,1.4004953999999998,1.3750282800000002,1.3586565600000005,1.3586565600000005,4.674388164865835,203.94000686488235,TP1_partial_then_TP2,True,True,True
XRPUSDT,2026-05-19T01:05:00+00:00,bearish,1.3917,1.4004953999999998,1.3758682800000002,1.3600365600000004,1.3600365600000004,4.7921827466204405,216.21072607129906,TP1_partial_then_TP2,True,True,True
XRPUSDT,2026-05-19T01:10:00+00:00,bearish,1.3915,1.4004953999999998,1.3753082800000003,1.3591165600000004,1.3591165600000004,4.912945751835282,216.73095666159517,TP1_partial_then_TP2,True,True,True
XRPUSDT,2026-05-19T01:15:00+00:00,bearish,1.3895,1.4004953999999998,1.3697082800000002,1.3499165600000005,1.3895,0.0,272.6655380984859,BE_after_50%,False,False,True
XRPUSDT,2026-05-19T01:20:00+00:00,bearish,1.3872,1.4004953999999998,1.3632682800000002,1.3393365600000005,1.3393365600000005,7.5551279771723205,225.49653696828173,TP1_partial_then_TP2,True,True,True
